written;hostname;services;procedure;stratos
yes;WWEASAPP0007;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0007;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0007;Process_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0007;Process_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;Service_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;Service_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0007;WMI;http://monitoring-dc.app.corp/kb/monitoring:wmi;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0008;Active_Sessions;http://monitoring-dc.app.corp/kb/app:score:app_server:active_session;OP_FR_PILOTS, OP_APPLI
yes;WWEASAPP0008;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0008;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0008;Process_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0008;Process_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;Service_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;Service_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0008;WMI;http://monitoring-dc.app.corp/kb/monitoring:wmi;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
